N,Threads,Time_sec,GFLOPS
200,1,0.015,1.06667
200,2,0.00700003,2.28571
200,4,0.00500007,3.19995
200,8,0.00499997,3.20002
400,1,0.139,0.920864
400,2,0.067,1.91045
400,4,0.037,3.45946
400,8,0.038,3.36842
800,1,1.406,0.728307
800,2,1.015,1.00887
800,4,0.644,1.59006
800,8,0.645,1.5876
1200,1,11.339,0.304789
1200,2,6.383,0.541438
1200,4,3.653,0.946072
1200,8,2.339,1.47755
1600,1,27.247,0.300657
1600,2,16.027,0.511137
1600,4,9.006,0.909616
1600,8,5.537,1.4795
2000,1,64.841,0.246757
2000,2,36.496,0.438404
2000,4,20.715,0.772387
2000,8,17.415,0.918748
