N,Processes,Time_sec,GFLOPS,Speedup
200,1,0.011609,1.37824,1
200,2,0.0064504,2.48047,1.79
200,4,0.00553071,2.89294,2.09
200,8,0.00457312,3.4987,2.53
400,1,0.100755,1.27041,1
400,2,0.0556971,2.29815,1.80
400,4,0.0551529,2.32082,1.82
400,8,0.0520422,2.45954,1.93
800,1,2.64093,0.387742,1
800,2,2.54029,0.403104,1.03
800,4,1.36979,0.747561,1.92
800,8,1.18851,0.86158,2.22
1200,1,19.6261,0.176092,1
1200,2,12.2062,0.283135,1.60
1200,4,7.86652,0.43933,2.49
1200,8,8.97945,0.384879,2.18
1600,1,45.9237,0.178383,1
1600,2,26.4521,0.309692,1.73
1600,4,18.8287,0.435081,2.43
1600,8,20.0884,0.407798,2.28
2000,1,99.6758,0.16052,1
2000,2,56.8087,0.281647,1.75
2000,4,39.0492,0.409739,2.55
2000,8,40.4566,0.395485,2.46
